날짜,감정,일기 내용,소비 항목,소비 금액 (원)
2026년 1월 7일,기쁨,예상치 못한 칭찬을 받아 하루 종일 미소가 떠나지 않았다.,간단한 음료,3500
2026년 1월 8일,고민,중요한 결정을 앞두고 신중하게 생각하는 시간을 가졌다.,카페에서 생각 정리,7000
2026년 1월 9일,결심,오랫동안 미뤄왔던 일을 시작하기로 결심했다.,운동화 구입,79000
2026년 1월 10일,성공,작은 목표 하나를 달성하고 큰 보람을 느꼈다.,자축용 맥주,8000
2026년 1월 11일,평화,"주말 오후, 햇살 아래에서 평화로운 시간을 보냈다.",화분 구입,12000
2026년 1월 12일,재미,친구들과 보드 게임을 하며 유쾌한 시간을 보냈다.,보드 게임 카페 이용료,18000
2026년 1월 13일,노력,부족한 부분을 채우기 위해 열심히 공부했다.,스터디 카페 이용료,10000
2026년 1월 14일,뿌듯,하루 일과를 완벽하게 마무리하고 스스로를 칭찬했다.,퇴근 후 간식,4000
2026년 1월 15일,기대,곧 있을 여행 준비를 하며 설레는 마음이었다.,여행용품 구입,22000
2026년 1월 16일,만족,새로 산 물건이 마음에 들어 하루 종일 기분이 좋았다.,전자제품 액세서리,15000
2026년 1월 17일,감동,예상치 못한 사람에게서 진심 어린 응원을 받았다.,감사 선물,20000
2026년 1월 18일,차분,복잡한 생각을 정리하며 명상의 시간을 가졌다.,향초 구입,11000
2026년 1월 19일,활기,"주말 아침, 활기찬 음악을 들으며 청소를 했다.",청소 용품,9000
2026년 1월 20일,행복,사랑하는 사람과 함께 맛있는 음식을 나누었다.,고급 와인,45000

