exercise,disease,condition,description,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46
1,친업,4,"손바닥이 얼굴을 향하도록 잡고 턱걸이를 하는 운동으로, 풀업보다 이두근의 개입이 높아 등과 이두근을 함께 발달시킵니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,랫풀다운,3,"머신을 사용하여 위에서 아래로 바를 당기는 운동으로, 풀업과 유사하게 광배근을 발달시키며 초보자에게 적합합니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,바벨 로우,3,"바벨을 들고 상체를 숙여 등 근육을 수축하며 바벨을 몸 쪽으로 당기는 운동으로, 등 전체의 두께를 키우는 데 효과적입니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,덤벨 로우,3,"덤벨을 사용하여 한 팔씩 등 근육을 수축하며 당기는 운동으로, 등 근육의 좌우 균형 발달에 도움이 됩니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,티바로우,3,"T-바 머신을 사용하여 바를 몸 쪽으로 당기는 운동으로, 등 중앙부와 하부의 두께를 키우는 데 효과적입니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,시티드 로우,2,"케이블 머신에 앉아 손잡이를 몸 쪽으로 당기는 운동으로, 등 중앙부 근육을 발달시키는 데 효과적입니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,데드리프트,5,"바닥에 놓인 바벨을 들어 올리는 전신 근력 운동으로, 등, 엉덩이, 허벅지 뒤쪽 근육을 포함한 전신 근육 발달에 매우 효과적입니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,루마니안 데드리프트,4,"무릎을 살짝 굽히고 바벨을 정강이 아래까지 내렸다가 올리는 동작으로, 햄스트링과 둔근을 집중적으로 발달시키는 데 효과적입니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,슈러그,2,"덤벨이나 바벨을 들고 어깨를 으쓱하는 동작으로, 승모근 상부를 발달시키는 데 효과적입니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,페이스풀,2,"케이블을 얼굴 쪽으로 당기는 운동으로, 후면 삼각근과 회전근개 강화에 도움이 되는 어깨 안정화 운동입니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,시티드 케이블 로우,2,"케이블 머신에 앉아 손잡이를 몸 쪽으로 당기는 운동으로, 등 중앙부 근육을 발달시키는 데 효과적입니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,숄더 프레스,3,"덤벨이나 바벨을 어깨 높이에서 머리 위로 밀어 올리는 운동으로, 어깨 근육(삼각근) 전체를 발달시키는 데 효과적입니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,덤벨 숄더 프레스,3,"덤벨을 사용하여 어깨를 밀어 올리는 운동으로, 가동 범위가 넓고 어깨의 좌우 균형 발달에 도움이 됩니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,밀리터리 프레스,4,"바벨을 사용하여 서서 머리 위로 밀어 올리는 운동으로, 전신 안정성과 어깨 근력을 동시에 강화하는 데 효과적입니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,아놀드 프레스,3,"덤벨을 잡고 손목을 회전시키며 머리 위로 밀어 올리는 운동으로, 삼각근 전면, 측면을 모두 발달시키는 데 효과적입니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,사이드 레터럴 레이즈,2,덤벨을 양 옆으로 들어 올려 어깨 측면(측면 삼각근)을 집중적으로 발달시키는 운동입니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,프론트 레이즈,2,덤벨을 앞으로 들어 올려 어깨 전면(전면 삼각근)을 집중적으로 발달시키는 운동입니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,리어 델트 레이즈,2,상체를 숙이고 덤벨을 뒤로 들어 올려 어깨 후면(후면 삼각근)을 집중적으로 발달시키는 운동입니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,업라이트 로우,3,"바벨이나 덤벨을 몸에 붙여 턱까지 들어 올리는 운동으로, 측면 삼각근과 승모근을 발달시킵니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,바벨 컬,3,"바벨을 사용하여 팔을 굽히는 운동으로, 이두근(위팔두갈래근)의 크기를 키우는 데 중점을 둡니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,덤벨 컬,3,"덤벨을 사용하여 팔을 굽히는 운동으로, 이두근 발달과 함께 손목의 회전을 통해 다양한 자극을 줄 수 있습니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,해머 컬,3,"덤벨을 망치처럼 잡고 팔을 굽히는 운동으로, 이두근과 함께 전완근(팔뚝)을 발달시키는 데 효과적입니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,프리처 컬,2,"프리처 벤치에 팔을 고정하고 바벨이나 덤벨을 들어 올리는 운동으로, 이두근을 고립시켜 집중적으로 발달시킵니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,케이블 컬,2,"케이블 머신을 사용하여 팔을 굽히는 운동으로, 운동 내내 지속적인 장력을 유지하여 이두근을 자극합니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,컨센트레이션 컬,2,"앉아서 팔꿈치를 허벅지에 고정하고 덤벨을 들어 올리는 운동으로, 이두근을 최대한 고립시켜 집중적인 자극을 줍니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,트라이셉스 푸시다운,2,"케이블 머신을 사용하여 위에서 아래로 바를 밀어 내리는 운동으로, 삼두근(위팔세갈래근)을 발달시키는 데 효과적입니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,오버헤드 트라이셉스 익스텐션,3,"덤벨이나 바벨을 머리 위로 들어 올린 상태에서 팔꿈치를 굽혔다 펴는 운동으로, 삼두근 장두 발달에 효과적입니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,덤벨 킥백,2,"상체를 숙이고 팔꿈치를 고정한 채 덤벨을 뒤로 차 올리는 동작으로, 삼두근 외측두를 발달시키는 데 효과적입니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,딥스,4,"평행봉이나 벤치를 사용하여 몸을 내렸다가 올리는 운동으로, 가슴 하부, 삼두근, 어깨 전면을 동시에 단련하는 복합 운동입니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,스컬크러셔,3,"벤치에 누워 바벨이나 덤벨을 이마 쪽으로 내렸다가 올리는 운동으로, 삼두근을 고립시켜 발달시키는 데 효과적입니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,클로즈그립 벤치프레스,3,"좁은 간격으로 바벨을 잡고 벤치프레스를 하는 운동으로, 삼두근의 개입을 높여 삼두근과 가슴 안쪽을 발달시킵니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,스쿼트,4,"하체 근력 운동의 기본으로, 무릎을 굽혀 앉았다 일어나는 동작을 통해 허벅지(대퇴사두근)와 엉덩이(둔근)를 강화합니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,프론트 스쿼트,4,"바벨을 어깨 앞쪽에 위치시키고 스쿼트를 하는 운동으로, 대퇴사두근과 코어 근육 발달에 더 집중됩니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,박스 스쿼트,3,"박스에 앉았다 일어나는 스쿼트로, 자세 교정과 둔근의 개입을 높이는 데 도움이 됩니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,해크 스쿼트,3,"해크 스쿼트 머신을 사용하여 스쿼트를 하는 운동으로, 허리에 부담을 줄이고 대퇴사두근을 집중적으로 발달시킵니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,레그프레스,3,"머신에 앉아 발판을 밀어 올리는 운동으로, 허리에 부담 없이 하체 근육(대퇴사두근, 둔근)을 고강도로 단련할 수 있습니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,런지,3,"한 발을 앞으로 내딛고 무릎을 굽혀 앉았다 일어나는 운동으로, 하체 근력과 균형 감각을 동시에 향상시킵니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,불가리안 스플릿 스쿼트,4,"뒷발을 벤치에 올리고 하는 런지 변형 운동으로, 한쪽 다리의 대퇴사두근과 둔근을 집중적으로 발달시킵니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,스텝업,2,"박스나 벤치 위에 한 발씩 번갈아 올라섰다가 내려오는 운동으로, 하체 근력과 유산소 효과를 동시에 얻을 수 있습니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,레그 익스텐션,2,"머신에 앉아 무릎을 펴는 운동으로, 대퇴사두근을 고립시켜 집중적으로 발달시킵니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,레그 컬,2,"머신에 엎드리거나 앉아 무릎을 굽히는 운동으로, 햄스트링(허벅지 뒤쪽 근육)을 집중적으로 발달시킵니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,힙 쓰러스트,3,"벤치에 어깨를 대고 엉덩이를 들어 올리는 운동으로, 둔근(엉덩이 근육)을 집중적으로 강화하는 데 가장 효과적인 운동 중 하나입니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,글루트 브리지,2,"바닥에 누워 무릎을 세우고 엉덩이를 들어 올리는 운동으로, 둔근과 햄스트링을 활성화시키는 데 좋습니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,카프 레이즈,2,"발끝으로 서서 종아리를 들어 올리는 운동으로, 종아리 근육(비복근, 가자미근)을 발달시킵니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,스미스머신 스쿼트,3,"스미스 머신을 사용하여 궤적이 고정된 상태로 스쿼트를 하는 운동으로, 안정적으로 고중량 훈련이 가능합니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,스모 데드리프트,5,"다리를 넓게 벌리고 하는 데드리프트 변형으로, 하체와 둔근의 개입이 높아 허리 부담을 줄일 수 있습니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,굿모닝,3,"바벨을 어깨에 메고 상체를 숙였다가 펴는 운동으로, 햄스트링, 둔근, 허리 기립근을 강화합니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,케틀벨 스윙,3,"케틀벨을 사용하여 엉덩이의 폭발적인 힘으로 앞뒤로 흔드는 운동으로, 전신 근력과 유산소 효과를 동시에 얻을 수 있습니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,케틀벨 클린,4,"케틀벨을 바닥에서 어깨 높이까지 들어 올리는 동작으로, 전신 협응력과 폭발적인 힘을 기르는 데 효과적입니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,케틀벨 스내치,4,"케틀벨을 바닥에서 머리 위까지 한 번에 들어 올리는 동작으로, 전신 근력, 지구력, 협응력을 극대화하는 고강도 운동입니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,케틀벨 프레스,3,"케틀벨을 어깨 높이에서 머리 위로 밀어 올리는 운동으로, 어깨 근력과 코어 안정성을 강화합니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,메디신볼 슬램,3,"메디신볼을 머리 위로 들었다가 바닥에 힘껏 내리꽂는 운동으로, 전신 폭발력과 코어 근육을 강화하는 데 효과적입니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,배틀로프,4,"두꺼운 로프를 잡고 파도 모양을 만들거나 휘두르는 운동으로, 전신 지구력과 코어 안정성을 강화하는 고강도 유산소 운동입니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,플랭크,2,"팔꿈치와 발끝으로 몸을 지탱하여 버티는 자세로, 코어 근육(복부, 허리)의 안정성을 강화하는 데 좋습니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,사이드 플랭크,3,"옆으로 누워 팔꿈치와 발 옆면으로 몸을 지탱하는 자세로, 복부 측면(외복사근, 내복사근)을 강화하는 데 효과적입니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,크런치,1,"바닥에 누워 상체만 살짝 들어 올리는 동작으로, 복직근(윗몸일으키기 근육) 중 상복부를 집중적으로 발달시킵니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,싯업,2,"바닥에 누워 상체를 완전히 일으켜 세우는 동작으로, 복직근 전체를 발달시키는 데 효과적입니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,레그레이즈,3,"바닥에 누워 다리를 들어 올리는 동작으로, 복직근 중 하복부를 집중적으로 발달시키는 데 효과적입니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,행잉 레그레이즈,4,"철봉에 매달려 다리를 들어 올리는 동작으로, 코어 근육과 악력을 동시에 강화하는 고강도 하복부 운동입니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,케이블 우드쵸퍼,3,"케이블 머신을 사용하여 대각선으로 당기는 동작으로, 복부 측면(외복사근)을 발달시키는 데 효과적입니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,애브롤아웃,4,"복근 롤러를 사용하여 몸을 앞으로 굴렸다가 돌아오는 운동으로, 복직근과 코어 전체를 강력하게 단련합니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,바이시클 크런치,2,누워서 자전거를 타는 듯한 동작으로 상체와 하체를 움직여 복직근과 복사근을 동시에 자극하는 운동입니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,마운틴 클라이머,3,"엎드린 자세에서 무릎을 가슴 쪽으로 번갈아 당기는 동작으로, 전신 유산소 효과와 코어 근육을 강화합니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,버피,4,"스쿼트, 푸쉬업, 점프를 결합한 전신 고강도 유산소성 근력 운동으로, 심폐 지구력과 근력을 동시에 향상시킵니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,점프 스쿼트,4,"스쿼트 자세에서 폭발적으로 점프하는 동작으로, 하체 근력과 순발력을 강화하는 데 효과적입니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,박스 점프,3,"박스 위로 뛰어오르는 동작으로, 하체 근력과 폭발적인 순발력을 기르는 데 좋습니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,클랩 푸쉬업,4,"푸쉬업 동작 후 손뼉을 치는 동작으로, 가슴과 삼두근의 폭발적인 힘을 기르는 데 효과적입니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,러닝머신 걷기,1,"러닝머신 위에서 걷는 유산소 운동으로, 관절에 부담이 적고 체지방 연소에 도움이 됩니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,러닝머신 달리기,2,"러닝머신 위에서 뛰는 유산소 운동으로, 심폐 지구력 향상과 칼로리 소모에 효과적입니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,인터벌 러닝,4,"빠르게 달리기와 느리게 걷기를 반복하는 유산소 운동으로, 심폐 지구력과 체지방 연소 효율을 극대화합니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,사이클(스피닝 고정식 자전거),3,"고정식 자전거를 타는 유산소 운동으로, 하체 근력과 심폐 지구력을 강화하며 관절에 부담이 적습니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,로잉머신,4,"노 젓는 동작을 모방한 전신 유산소 운동으로, 등, 하체, 코어 등 전신 근육을 사용하며 심폐 지구력을 향상시킵니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,스텝퍼,3,"계단을 오르는 동작을 모방한 유산소 운동으로, 하체 근력과 심폐 지구력을 강화하며 특히 둔근과 허벅지 뒤쪽을 자극합니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,일립티컬,2,"타원형 궤적으로 움직이는 유산소 운동 기구로, 관절에 부담이 적고 전신 근육을 사용하여 칼로리 소모에 효과적입니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,줄넘기,3,"줄을 넘는 유산소 운동으로, 심폐 지구력 향상과 전신 협응력 발달에 효과적이며 높은 칼로리를 소모합니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,에어로빅,3,"음악에 맞춰 율동적인 동작을 하는 유산소 운동으로, 심폐 지구력 향상과 전신 근육의 유연성을 기르는 데 좋습니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,줌바,3,"라틴 댄스 동작을 기반으로 한 유산소 운동으로, 즐겁게 전신을 움직이며 칼로리를 소모하고 스트레스를 해소하는 데 효과적입니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,댄스 피트니스,3,"다양한 댄스 장르를 결합한 유산소 운동으로, 심폐 지구력 향상과 함께 리듬감, 유연성을 기르는 데 좋습니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,HIIT(고강도 인터벌 트레이닝),5,"짧은 시간 동안 고강도 운동과 짧은 휴식을 반복하는 훈련으로, 운동 후에도 칼로리를 소모하는 효과(EPOC)가 뛰어납니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,타바타,5,"HIIT의 한 형태로, 20초 운동 후 10초 휴식을 8세트 반복하는 총 4분간의 고강도 인터벌 트레이닝입니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,파워워킹,2,"일반 걷기보다 빠른 속도로 걷는 유산소 운동으로, 심폐 지구력 향상과 체지방 연소에 효과적입니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,야외 조깅,2,"야외에서 가벼운 속도로 뛰는 유산소 운동으로, 심폐 지구력 향상과 스트레스 해소에 도움이 됩니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,트레일 러닝,4,"산이나 비포장도로를 달리는 운동으로, 일반 러닝보다 더 많은 근육을 사용하며 심폐 지구력과 하체 근력을 강화합니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,하이킹,3,"가벼운 등산이나 장거리 걷기 운동으로, 심폐 지구력 향상과 자연 속에서 스트레스를 해소하는 데 좋습니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,등산,4,"산 정상까지 오르는 운동으로, 하체 근력, 심폐 지구력, 전신 지구력을 강화하는 데 효과적입니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,수영,3,"물속에서 하는 전신 유산소 운동으로, 관절에 부담이 적고 심폐 지구력 향상 및 전신 근육 발달에 효과적입니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,자유형,3,"가장 빠른 수영 영법으로, 전신 근육을 사용하며 심폐 지구력을 극대화합니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,평영,2,"개구리 헤엄과 유사한 영법으로, 가슴과 다리 근육을 주로 사용하며 비교적 느린 속도로 지구력을 기르는 데 좋습니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,접영,4,"돌고래처럼 웨이브를 타며 양팔을 동시에 움직이는 영법으로, 전신 근육을 사용하는 고강도 운동입니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,배영,3,"누워서 하는 영법으로, 어깨와 등 근육을 주로 사용하며 자세 교정에도 도움이 됩니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,아쿠아로빅,2,"물속에서 하는 에어로빅으로, 관절에 부담이 적고 수압을 이용해 근력과 유산소 효과를 동시에 얻을 수 있습니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,수중 러닝,2,"물속에서 뛰는 동작으로, 관절에 부담 없이 하체 근력과 심폐 지구력을 강화하는 데 효과적입니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,서핑 패들링,3,"서핑 보드 위에서 팔로 노를 젓는 동작으로, 상체 근력과 코어 안정성을 강화합니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,카약,3,"카약을 타고 노를 젓는 수상 스포츠로, 상체 근력과 지구력을 기르는 데 효과적입니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,카누,3,"카누를 타고 노를 젓는 수상 스포츠로, 상체 근력과 지구력을 기르는 데 효과적입니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,스탠드업 패들보드,2,"보드 위에 서서 노를 젓는 수상 스포츠로, 코어 안정성과 균형 감각을 기르는 데 좋습니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,스케이트보드 크루징,1,"스케이트보드를 타고 평지를 이동하는 활동으로, 하체 근력과 균형 감각을 기르는 데 좋습니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,인라인 스케이팅,2,"인라인 스케이트를 신고 활주하는 운동으로, 하체 근력과 유산소 효과를 동시에 얻을 수 있습니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,롤러스케이트,2,"롤러스케이트를 신고 활주하는 운동으로, 하체 근력과 유산소 효과를 동시에 얻을 수 있습니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,스키 크로스컨트리,4,"스키를 신고 눈 위를 이동하는 운동으로, 전신 근력과 심폐 지구력을 극대화하는 고강도 유산소 운동입니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,스노보드 카빙,3,"스노보드를 타고 눈 위를 활강하며 엣지를 사용하는 기술로, 하체 근력과 균형 감각을 기르는 데 좋습니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
